title,rate,date
[新聞] 芭比海默大導演也朝聖！昆汀塔倫提諾,14,7/26
[崩潰雷] 不可能任務7 我無法接受這劇情,42,7/26
Re: [新聞] 海角七號、賽德克巴萊、KANO  魏德聖談,18,7/26
[請益] 芭比最後為什麼要去看XXX？,19,7/26
[好雷] 奧本海默,3,7/26
[情報] 河正宇 朱智勛《贖命救援》前導預告,1,7/26
[問片] 大明星小配角,7,7/26
［轉載］《奧本海默》那些人性與選擇，是比量,,7/26
Re: [請益] 奧本海默演技最好是小勞勃道尼嗎(雷）,,7/26
Re: [新聞] 魏導台獨神話的幻滅,,7/26
Re: [討論] 柴克萊威：《沙贊2》未來會被重新審視,1,7/26
[新聞] 再給影藝學院會員一次機會 那麼拿下奧斯卡,,7/26
[公告] 電影板板規 2022/12/5,,9/04
Re: [討論] 有哪片的卡司能跟奧本海默比？,4,7/25
[新聞] 74歲奧斯卡得主拍片被嫌臭，淪落溪邊洗澡,X1,7/25
[討論] emily blunt在prada裡好難看...,,7/25
[好雷] 瑞秋麥亞當斯-麻辣女強人Morning Glory,12,7/25
[新聞]原本要演芭比！艾咪舒默朝聖「芭比海默」笑稱：奧本海默老婆,24,7/25
[雷] 名偵探柯南 黑鐵的魚影 日本轟音廳,13,7/25
[新聞] 《奧本海默》首週末多撿到 500 萬美元票房,9,7/25
[新聞] 電影芭比中國票房黯淡 好萊塢吸引力漸失,36,7/25
[新聞] 看過嗎？史上最昂貴巨片是它！今年夏天最,3,7/25
[新聞] 陷宗教爭議 奧本海默在印度仍大賣,3,7/25
Re: [討論] 魏德聖在秋什麼呀,8,7/25
[新聞] 絕命律師鮑勃奧登科克反對阿湯哥通融宣,31,7/25
[好雷] 芭比,9,7/25
[討論] 2023迪士尼電影收支粗估,87,7/25
[  雷] 熊幸福騙局   觀後感,1,7/25
Re: [微雷] 奧本海默 - 覺得是傳記片包裝的諷刺片,2,7/25
[情報] 大法師：信徒 首支預告 今年10月上映,26,7/25
[片單] 看完奧本海默想找二戰時間鏈的相關電影,47,7/25
[情報] 《芭比》的全球票房已破 4 億美元,94,7/26
Re: [請益] 奧本海默結局（有雷）,25,7/26
[好雷] Only The Brave 無路可退 JC粉必看！,9,7/25
[新聞] 砸一億五千萬美金！行銷團隊是芭比功臣,47,7/25
[討論] 楊德昌真的值得尊敬嗎?,23,7/25
"[討論] ""你想活出怎樣的人生""票房37億日圓",,7/25
[討論] 芭比 那些為電影加分的彩蛋,18,7/25
Re: [討論] 臺灣三部曲預算怎麼估的,1,7/25
[新聞] 「芭比海默」發威！《芭比》、《奧本海默,6,7/25
[討論] 大家最怕哪部電影的鬼娃,16,7/25
Re: [討論] 楊德昌真的值得尊敬嗎?,10,7/25
[情報] 小勞勃道尼《卓別林與他的情人》,19,7/25
[  好雷] 綁票通緝令,5,7/25
[討論] 臺灣三部曲 鯨骨之海 實景錄音前製中,59,7/25
[討論] 威尼斯影展國片全軍覆沒,9,7/25
[討論] 那個炸彈真的做得出來嗎?(有奧本雷),11,7/25
[討論] 有哪片的卡司能跟奧本海默比？,34,7/25
[情報] 濱口竜介威尼斯新片《悪は存在しない》情報解禁！,13,7/25
[新聞] 只列27人！《奧本海默》片尾名單漏列特效,19,7/25
Re: [討論] 臺灣三部曲 鯨骨之海 實景錄音前製中,36,7/25
Re: [討論] 海角七號的版權是不是也被誰騙走了阿?,8,7/25
Re: [請益] 攻其不備大學挑選問題,,7/25
[ 極好雷] 今年選一部進戲院 只能是奧本海默,X3,7/25
[新聞] 李鴻其首當導演入選威尼斯影展！台灣電影,2,7/25
(本文已被刪除) [julie1026],,7/25
[討論] iTunes特價 貓王艾維斯/北非諜影/Ｋ-１９,2,7/25
"[新聞] 陶比麥奎爾,山姆雷米有望回歸再拍蜘蛛人4",38,7/25
Fw: [情報] 《掃毒3：人在天涯》$100元搶先看,4,7/25
[新聞] 前20分鐘無女性台詞…「奧本海默」遭女,99,7/25
[情報]巨石強森捐百萬鎂給演員工會,13,7/25
[討論] 饒恕/核爆車諾比 iTunes 特價 NT$80 起,,7/25
Re: [討論] 為何魏導鄙視CG堅持實景,9,7/25
[討論] 魏德聖在秋什麼呀,50,7/25
[討論] 奧本海默是不是諾蘭少有的幽默橋段,48,7/25
[影評] 《請問，還有哪裡需要加強》繼續有些事一,,7/25
[討論] 臺灣三部曲預算怎麼估的,20,7/25
[討論] Cillian Murphy的譯名,52,7/25
